channel,source,cutoff_min,plateau_pass,start_min,end_min,samples,baseline_mdeg,tail_amplitude_mdeg,Rinf_mdeg,kobs_per_s,tau_s,tau_min,t95_experiment_min,t99_experiment_min,remaining_tail_mdeg_at_cutoff,rmse_mdeg,residual_lag1,parameter_boundary,rate_stable_20pct,joint_exploratory_gate
L2 785nm,Vendor,56.0,False,43.57848333333333,55.8809,92,54.687901642194845,5.531352240489658,60.219253882684505,0.004337896698720719,230.52646696149037,3.842107782691506,55.08840961641524,61.272043545537066,0.22502034808856786,0.6894621619578615,0.4323875128671194,False,True,False
L2 785nm,Vendor,57.0,False,43.57848333333333,56.96208333333333,100,54.78327073461774,5.654477377894015,60.437748112511755,0.0039035288248209558,256.178459254971,4.26964098758285,56.369184636324206,63.24090671422262,0.246067739976625,0.680895721911461,0.4285013785604795,False,False,False
L2 785nm,Vendor,58.0,False,43.57848333333333,57.90773333333333,107,54.72151579792689,5.583305432409041,60.30482123033593,0.004168506271273193,239.8940855364405,3.9982347589406753,55.55612423793727,61.991034841788206,0.15503364255874413,0.670028104564631,0.41813490060123604,False,True,False
L2 785nm,Centroid + vendor TIR,48.0,False,43.57848333333333,47.90298333333333,33,50.80218516073464,3.5395855685448376,54.341770729279474,0.011094351769139171,90.1359557375556,1.5022659289592601,48.07886986017715,50.49667360080222,0.1989619249887457,0.6258864945880233,0.34875671341793213,False,False,False
L2 785nm,Centroid + vendor TIR,49.0,False,43.57848333333333,48.98441666666667,41,50.72930762341283,3.3012680985630736,54.0305757219759,0.01370737634261711,72.95342120949404,1.2158903534915673,47.22096530639099,49.17786533866322,0.03870590548659101,0.6739010964813701,0.3505883957896147,False,False,False
L2 785nm,Centroid + vendor TIR,50.0,False,43.57848333333333,49.9294,48,50.81601990397143,3.4263448909972616,54.242364794968694,0.01148284711908271,87.086415906222,1.4514402651037,47.92660977864025,50.26261276893154,0.043105604935608825,0.6536704004962811,0.37337319143303876,False,False,False
L2 785nm,Centroid + vendor TIR,51.0,False,43.57848333333333,50.87656666666667,55,50.78975249833494,3.400681805732046,54.19043430406699,0.012026135642854839,83.15223025063217,1.3858705041772028,47.73018032966352,49.96065286081047,0.01756075908989788,0.6693201080405069,0.33757135427915075,False,True,False
L2 785nm,Centroid + vendor TIR,52.0,False,43.57848333333333,51.95926666666666,63,51.00649639946988,3.5207754680266614,54.527271867496545,0.008703148625506762,114.90094482234268,1.9150157470390448,49.3153578111023,52.39745675729525,0.04426013438385337,0.6797151107083266,0.41862561775754487,False,False,False
L2 785nm,Centroid + vendor TIR,53.0,False,43.57848333333333,52.90725,70,50.909992514698885,3.484723478810639,54.39471599350952,0.009937080378707207,100.63318015850626,1.6772196693084378,48.602984426520166,51.302365349785354,0.01338455890343025,0.6860777138900825,0.3981373007111805,False,False,False
L2 785nm,Centroid + vendor TIR,54.0,False,43.57848333333333,53.98918333333334,78,50.92453200440426,3.48805740567656,54.41258941008082,0.009748633019249412,102.57848439113714,1.7096414065189522,48.700111271046396,51.451672967365155,0.007906574404876968,0.6556036559952613,0.39252464661557745,False,True,False
L2 785nm,Centroid + vendor TIR,55.0,False,43.57848333333333,54.93505,85,50.92839315530459,3.4891083487045202,54.41750150400911,0.00969846932729839,103.10905424893069,1.7184842374821783,48.726602025152516,51.492395708876735,0.004706397184178217,0.6327150676675118,0.39223568463023334,False,True,False
